"sound.files","label","spl","sd"
"calibration_LM_A1A",0,34.7011982065659,1.98047591318606
"calibration_LM_A3C",0,34.7054062375269,2.25916886215742
"calibration_LM_A41A",0,43.7783210795901,4.69475941736324
"calibration_LM_A56",0,32.7572196277048,2.76000957410744
"calibration_LM_A61",0,34.4902298721729,2.4183993016798
"calibration_LM_AAE",0,36.0782531375598,1.94953965662075
"calibration_LM_ABB",0,36.8065483823152,3.98891692054304
"calibration_LM_AC8",0,34.8265093591702,2.64659015687461
"calibration_LM_AED",0,45.481888758222,4.5752984418918
"calibration_M_A1A",0,40.4413586041285,2.51224107763452
"calibration_M_A3C",0,39.4281768326132,4.38486796427199
"calibration_M_A41A",0,38.2570883722312,3.36484266144399
"calibration_M_A61",0,43.4433998053765,2.16927956939051
"calibration_M_AAE",0,39.1645027186875,2.57038822394249
"calibration_M_AC8",0,41.1797816700239,2.3317859192689
"calibration_LM_A1A",0.001,35.0769364146498,1.74761241054063
"calibration_LM_A3C",0.001,36.465202103827,7.80403231489092
"calibration_LM_A41A",0.001,43.5104067347977,5.79091835337098
"calibration_LM_A56",0.001,33.4417845894938,1.86410096921998
"calibration_LM_A61",0.001,34.8440450985985,1.77138264448634
"calibration_LM_AAE",0.001,36.0211980706054,1.88929283569694
"calibration_LM_ABB",0.001,36.6030576418154,4.89475054940555
"calibration_LM_AC8",0.001,34.9776432560173,1.90210363238314
"calibration_LM_AED",0.001,45.2436237807814,5.56667436684499
"calibration_M_A1A",0.001,41.2894211164199,4.5120734537381
"calibration_M_A3C",0.001,39.1980591172074,2.34491041137
"calibration_M_A41A",0.001,38.2368327164767,2.54635744911265
"calibration_M_A61",0.001,44.1146245762266,4.02027035833472
"calibration_M_AAE",0.001,40.3478434895149,4.88133317856586
"calibration_M_AC8",0.001,43.0403904392279,7.48103294569098
"calibration_LM_A1A",0.0032,37.6214272729626,0.976477133401766
"calibration_LM_A3C",0.0032,38.0858177054627,1.2198238120637
"calibration_LM_A41A",0.0032,42.7584462378727,4.59467252219987
"calibration_LM_A56",0.0032,36.3612497162078,0.667646965932527
"calibration_LM_A61",0.0032,36.0980938765901,0.97980160802858
"calibration_LM_AAE",0.0032,39.2685081378504,16.2858114504204
"calibration_LM_ABB",0.0032,36.1323407713883,3.56719443911819
"calibration_LM_AC8",0.0032,36.2870027186957,1.48216865585215
"calibration_LM_AED",0.0032,44.7499590520031,4.14517956180503
"calibration_M_A1A",0.0032,44.6088963400608,5.38579636941519
"calibration_M_A3C",0.0032,39.9657735750287,2.14945275554818
"calibration_M_A41A",0.0032,38.4322461696693,2.71030180032959
"calibration_M_A61",0.0032,46.6527174169217,5.73258964024841
"calibration_M_AAE",0.0032,42.7751060866259,2.31230961254616
"calibration_M_AC8",0.0032,45.3739653846365,0.918947482229939
"calibration_LM_A1A",0.01,45.0333152407862,0.376902351185075
"calibration_LM_A3C",0.01,46.0420942396346,0.483024880036713
"calibration_LM_A41A",0.01,41.8483742439391,4.43313080632083
"calibration_LM_A56",0.01,44.4798699118485,1.45682189244718
"calibration_LM_A61",0.01,42.5204468792274,2.63643372747539
"calibration_LM_AAE",0.01,36.6499763577193,2.19017183113201
"calibration_LM_ABB",0.01,36.5285094453559,2.61905964113244
"calibration_LM_AC8",0.01,41.8873121653856,0.864306563206601
"calibration_LM_AED",0.01,46.1916811371087,2.55650518904544
"calibration_M_A1A",0.01,51.9137274472158,1.98046918617735
"calibration_M_A3C",0.01,43.754645770715,1.57444738101996
"calibration_M_A41A",0.01,38.7548686672211,3.90004448659492
"calibration_M_A61",0.01,53.0126300501711,1.92127642085665
"calibration_M_AAE",0.01,50.6038922765431,3.48868606311395
"calibration_M_AC8",0.01,54.1952311831277,0.33400889829447
"calibration_LM_A1A",0.0316,54.5957655649772,0.328861144174847
"calibration_LM_A3C",0.0316,55.9976827450521,0.477798887292513
"calibration_LM_A41A",0.0316,43.6741220149809,4.9847600148201
"calibration_LM_A56",0.0316,54.4149850770912,0.221690641782432
"calibration_LM_A61",0.0316,51.3077540399046,0.234545002765792
"calibration_LM_AAE",0.0316,40.3312916091932,1.55623300085649
"calibration_LM_ABB",0.0316,42.0097417672635,1.98362085651015
"calibration_LM_AC8",0.0316,51.1487793887365,0.791627734315361
"calibration_LM_AED",0.0316,53.4547288243503,2.0736814384054
"calibration_M_A1A",0.0316,61.6197756026803,1.01080293258643
"calibration_M_A3C",0.0316,52.3115677527382,0.782284247868315
"calibration_M_A41A",0.0316,40.06079604501,1.59616060103039
"calibration_M_A61",0.0316,62.1191832007,0.204105918032704
"calibration_M_AAE",0.0316,60.7510620734797,3.80178958936364
"calibration_M_AC8",0.0316,64.4953575143052,0.377970737890682
"calibration_LM_A1A",0.1,64.6822032937178,0.296027008407051
"calibration_LM_A3C",0.1,66.1034162008582,0.440130020706593
"calibration_LM_A41A",0.1,46.7594589372866,2.59475407062891
"calibration_LM_A56",0.1,64.5103379844389,0.176939544038952
"calibration_LM_A61",0.1,61.0583065497304,0.209918532452473
"calibration_LM_AAE",0.1,48.1561517575107,1.96648093981066
"calibration_LM_ABB",0.1,50.8768882368648,1.98097365026082
"calibration_LM_AC8",0.1,60.8806696573239,0.636475129881342
"calibration_LM_AED",0.1,62.9942080199633,2.29324550243462
"calibration_M_A1A",0.1,72.0481572947355,1.04743648921144
"calibration_M_A3C",0.1,62.4336788033223,0.697101969052115
"calibration_M_A41A",0.1,46.4933343418905,0.740499852345347
"calibration_M_A61",0.1,72.5476683268751,0.410140486028914
"calibration_M_AAE",0.1,70.9897137812548,4.10778350746156
"calibration_M_AC8",0.1,74.6555076374356,0.429301015590617
"calibration_LM_A1A",0.3162,74.8107248606702,0.285332395253924
"calibration_LM_A3C",0.3162,76.2812806969081,0.538018302903824
"calibration_LM_A41A",0.3162,54.1200701805685,2.39384430285024
"calibration_LM_A56",0.3162,74.7210746603668,0.24263161420265
"calibration_LM_A61",0.3162,70.8283702040138,0.248745899534233
"calibration_LM_AAE",0.3162,57.579099831885,0.811783875218083
"calibration_LM_ABB",0.3162,60.7416285511222,2.19378989430793
"calibration_LM_AC8",0.3162,70.9454632386171,0.53725315922971
"calibration_LM_AED",0.3162,72.8643966062385,2.46892196161535
"calibration_M_A1A",0.3162,82.182467295616,1.09818506790759
"calibration_M_A3C",0.3162,72.5893335894441,0.591736994648802
"calibration_M_A41A",0.3162,56.0260160542683,0.923543172382643
"calibration_M_A61",0.3162,82.6186155116569,0.457959924920213
"calibration_M_AAE",0.3162,81.4696439187817,3.08298228639179
"calibration_M_AC8",0.3162,84.6479216119581,0.322333311054468
"calibration_LM_A1A",1,84.4501404767079,0.447669022292885
"calibration_LM_A3C",1,85.9288480707847,0.464539129924376
"calibration_LM_A41A",1,63.9184944401836,2.62380922145101
"calibration_LM_A56",1,84.5338471522746,0.231377281620557
"calibration_LM_A61",1,80.8244524831354,0.22724805638358
"calibration_LM_AAE",1,67.3181325096164,0.796616410428887
"calibration_LM_ABB",1,70.9317863292214,2.23190504987673
"calibration_LM_AC8",1,81.0428560662493,0.592892953357343
"calibration_LM_AED",1,82.9139026470058,2.22073400218347
"calibration_M_A3C",1,82.6004635068214,0.689404867470445
"calibration_M_A41A",1,66.0607027668245,0.864729206800957
"calibration_LM_A1A",1e-04,34.9993105428716,2.53690707911045
"calibration_LM_A3C",1e-04,34.6192515303609,2.4952461470571
"calibration_LM_A41A",1e-04,41.9937244630111,4.94882500908241
"calibration_LM_A56",1e-04,33.005141412299,3.03742510904382
"calibration_LM_A61",1e-04,34.7088202656848,2.88460859640898
"calibration_LM_AAE",1e-04,36.382396934142,2.54629372055294
"calibration_LM_ABB",1e-04,35.355631373873,3.80926601500505
"calibration_LM_AC8",1e-04,34.9852964283404,2.49599175811526
"calibration_LM_AED",1e-04,43.7620383722083,4.7371562717951
"calibration_M_A1A",1e-04,39.8562807520531,1.22224925263864
"calibration_M_A3C",1e-04,39.5952772393356,4.31300299400295
"calibration_M_A41A",1e-04,38.4826807277062,3.46263136809139
"calibration_M_A61",1e-04,42.9374454941967,1.09284902917538
"calibration_M_AAE",1e-04,39.1378391211609,2.36224145573175
"calibration_M_AC8",1e-04,41.0396781950673,2.5639522108405
"calibration_LM_A1A",3e-04,34.4880310685949,1.65535556594585
"calibration_LM_A3C",3e-04,34.9680275443231,2.9687762567494
"calibration_LM_A41A",3e-04,43.0232273109083,4.30401454352335
"calibration_LM_A56",3e-04,32.8043051128952,1.80699757080333
"calibration_LM_A61",3e-04,34.4843164263655,1.63151172979797
"calibration_LM_AAE",3e-04,35.8174905053872,1.67814533112461
"calibration_LM_ABB",3e-04,36.205487617466,3.53113165189054
"calibration_LM_AC8",3e-04,34.7779517448772,2.08188179553866
"calibration_LM_AED",3e-04,44.7542496922059,4.14025051212615
"calibration_M_A1A",3e-04,40.2360267175719,3.07810107811082
"calibration_M_A3C",3e-04,38.9694367627444,2.45317424388134
"calibration_M_A41A",3e-04,38.0725516252673,2.73159490699834
"calibration_M_A61",3e-04,43.2920382119014,2.89933984318294
"calibration_M_AAE",3e-04,39.254943532364,2.52787897046835
"calibration_M_AC8",3e-04,41.4486759598812,3.12766174356334
